total_population,avg_stars,percent_caucasian,has_wifi,yearly_household_income,price_range,people_per_household,is_wheelchair_accessible
28771,4.5,0.930624587,1,34729,2,1.63,0
36755,3.5,0.827533669,1,75916,2,2.12,0
71347,3,0.627861017,1,47691,2,2.64,0
63662,3.5,0.762872671,1,68166,1,2.65,1
39385,4,0.202539038,1,45159,3,3.58,0
51930,3.5,0.624706336,1,49173,2,2.54,1
37758,3.5,0.588590497,1,52045,1,2.54,0
37483,2.5,0.29866873,1,32884,3,2.74,0
54234,4.5,0.570951802,1,55095,2,2.42,1
32908,3,0.564908229,1,65309,2,2.79,0
21785,3.5,0.306770714,1,30776,1,2.38,1
57579,3,0.559579013,1,59292,1,2.52,0
7013,2.5,0.531584201,1,45257,1,1.89,1
39008,3.5,0.477030353,1,64387,1,2.82,1
62991,3,0.438491213,1,37427,2,2.64,1
18111,3,0.470432334,1,42955,1,2.69,0
62991,3,0.438491213,1,37427,1,2.64,0
63260,3,0.377410686,1,60644,1,3.23,0
37758,4,0.588590497,1,52045,2,2.54,1
38213,3.5,0.498704629,1,52761,1,2.63,0
20317,2.5,0.461091697,1,47544,1,2.4,1
46684,2.5,0.344250707,1,33787,2,2.33,0
47727,2.5,0.103191066,1,28762,2,3.57,1
37758,3.5,0.588590497,1,52045,1,2.54,1
29121,4.5,0.715497407,1,68845,1,2.44,1
29121,3.5,0.715497407,1,68845,1,2.44,1
23661,3,0.762520604,1,60281,2,2.06,0
57507,2.5,0.55617577,1,31600,1,2.34,0
71347,2.5,0.627861017,1,47691,1,2.64,0
49123,3.5,0.663823464,1,67442,1,2.65,1
57507,3,0.55617577,1,31600,2,2.34,1
46507,4,0.767196336,1,48143,2,2.27,0
30163,2.5,0.522328681,1,86381,1,3.16,0
28366,3,0.708136501,1,44039,2,2.6,0
58191,3,0.139403001,1,41438,2,3.66,0
49312,3,0.396374108,1,35676,1,2.33,1
41677,2,0.20939607,1,45420,2,3.14,0
28417,3.5,0.65344688,1,21883,2,2.05,0
39385,2,0.202539038,1,45159,2,3.58,1
45230,3.5,0.862414327,1,90236,2,2.51,1
29490,2.5,0.806035944,1,80233,2,2.74,0
31300,2.5,0.551980831,1,26473,2,2.23,0
10562,3.5,0.665688317,1,73931,2,1.65,1
5526,3,0.654180239,1,57978,2,1.84,1
21820,3,0.708203483,1,64176,2,2.11,1
33432,4.5,0.568347691,1,46399,2,2.11,0
64394,4,0.744696711,1,93942,2,2.66,1
38082,4,0.877396145,1,112531,2,2.52,1
46684,2.5,0.344250707,1,33787,2,2.33,0
32887,4,0.777784535,1,45557,1,2.2,1
33432,2.5,0.568347691,1,46399,2,2.11,0
44241,3,0.60482358,1,42137,2,2.62,0
5884,3.5,0.829197825,1,75093,2,1.88,1
34937,3.5,0.427941724,1,54843,3,2.75,1
71347,3,0.627861017,1,47691,1,2.64,1
57507,3,0.55617577,1,31600,1,2.34,0
34698,3,0.753991585,1,95628,1,2.71,0
3638,3.5,0.761682243,1,72400,2,1.41,1
46684,3.5,0.344250707,1,33787,2,2.33,0
43261,3,0.195557199,1,22309,1,2.75,1
37550,3.5,0.730865513,1,50159,2,2.05,1
4649,2,0.556893956,1,29567,2,1.86,0
4649,3,0.556893956,1,29567,1,1.86,1
36244,2.5,0.689934886,1,52137,2,2.47,0
27936,3,0.851768328,1,95127,2,2.85,1
7013,2.5,0.531584201,1,45257,2,1.89,0
17643,3.5,0.783086777,1,64581,2,2.18,1
20317,3,0.461091697,1,47544,1,2.4,1
7013,2,0.531584201,1,45257,2,1.89,1
46684,3,0.344250707,1,33787,2,2.33,0
23092,3,0.849731509,1,51308,2,2.19,1
29196,3.5,0.467975065,1,35404,1,2.05,1
18173,3.5,0.906674737,1,79489,1,2.43,0
39598,3.5,0.69288853,1,99910,2,3.06,0
30253,4,0.793243645,1,67301,1,2.16,1
24595,5,0.81589754,1,72682,2,2.24,0
64394,3,0.744696711,1,93942,2,2.66,0
41882,3,0.725037009,1,66299,2,2.62,0
10000,3,0.5661,1,48598,2,2.56,0
37557,2.5,0.776233459,1,71346,2,2.38,0
27577,3.5,0.132392936,1,39384,2,2.87,0
76365,4,0.377830158,1,60196,2,2.7,0
64394,3.5,0.744696711,1,93942,2,2.66,0
33755,3.5,0.32549252,1,56126,2,2.58,0
33755,3,0.32549252,1,56126,2,2.58,0
49144,3.5,0.254883607,1,48463,2,2.68,0
41498,3.5,0.32770254,1,45941,2,2.62,1
36092,3.5,0.613072149,1,22400,2,2.09,0
27550,4,0.816696915,1,67969,2,2.25,0
10780,3,0.686827458,1,39040,2,1.99,0
15830,4.5,0.918825016,1,59898,1,2.21,0
9262,4,0.46804146,1,42661,2,1.98,0
16850,2,0.844510386,1,59840,2,1.98,0
15594,4,0.897332307,1,55994,1,2.23,0
32887,3,0.777784535,1,45557,1,2.2,0
37873,3,0.647294907,1,59830,2,3.42,0
38334,3,0.55407732,1,41574,2,2.71,0
47465,3.5,0.221489519,1,47869,2,3.55,0
33920,2.5,0.160436321,1,52371,2,3.75,0
48071,3,0.729317052,1,46529,2,2.31,0
25000,4,0.65488,1,76453,2,2.43,0
45230,2.5,0.862414327,1,90236,1,2.51,0
39552,2,0.81672229,1,102047,2,3.1,0
54668,2.5,0.071412892,1,31065,1,3.89,0
53558,4.5,0.484652153,1,44150,2,2.9,0
23214,4,0.915740501,1,72530,2,2.15,0
41525,3.5,0.73396749,1,55329,2,2.59,0
55820,3.5,0.25818703,1,34581,2,2.73,0
33935,3,0.647679387,1,45346,2,2.86,0
46507,3.5,0.767196336,1,48143,2,2.27,0
28747,3,0.60399346,1,78202,2,3.12,0
44606,3,0.598215487,1,61754,2,2.57,0
62767,2.5,0.462759093,1,43912,2,3.04,0
39719,2,0.313401647,1,29838,2,2.76,1
10562,3.5,0.665688317,0,73931,2,1.65,0
39648,3,0.296458838,1,34728,2,2.87,0
18111,3.5,0.470432334,1,42955,1,2.69,0
32908,3,0.564908229,1,65309,2,2.79,0
51378,2.5,0.673264822,1,75307,1,2.56,0
46684,3,0.344250707,1,33787,1,2.33,1
43498,3.5,0.460687848,1,63065,1,2.8,0
35657,3.5,0.629329444,1,68329,2,2.71,1
47727,4,0.103191066,1,28762,1,3.57,0
54234,4,0.570951802,1,55095,1,2.42,1
14114,3.5,0.29176704,1,27200,2,2.73,1
63662,3,0.762872671,1,68166,2,2.65,0
46684,3,0.344250707,1,33787,2,2.33,1
7013,3,0.531584201,1,45257,1,1.89,1
7013,2.5,0.531584201,1,45257,2,1.89,0
37758,3,0.588590497,1,52045,1,2.54,0
11451,4,0.737664833,1,49394,1,1.73,0
47727,4,0.103191066,1,28762,2,3.57,0
20317,4,0.461091697,1,47544,1,2.4,0
22405,3,0.506717251,1,70529,1,2.69,1
7013,2.5,0.531584201,1,45257,3,1.89,1
57579,3.5,0.559579013,1,59292,1,2.52,1
57579,2.5,0.559579013,1,59292,1,2.52,1
7013,3,0.531584201,0,45257,2,1.89,0
29508,4,0.775823506,1,71960,2,2.39,0
32908,3.5,0.564908229,1,65309,1,2.79,0
34250,4,0.345547445,1,68167,1,3.1,0
49312,3.5,0.396374108,1,35676,1,2.33,0
52313,3.5,0.60870147,1,65607,2,2.72,0
42749,3.5,0.814779293,1,80477,1,3.02,1
46684,2.5,0.344250707,1,33787,2,2.33,0
72300,3,0.454190871,0,55753,1,2.88,0
36423,4,0.368640694,1,41024,2,2.97,0
34641,3.5,0.146935712,1,29183,1,2.69,1
4586,3,0.12865242,1,21052,1,2.97,0
25473,3,0.702861854,0,91483,1,2.41,0
51606,3,0.450509631,1,53223,1,2.79,0
34250,4,0.345547445,1,68167,1,3.1,0
7013,3,0.531584201,0,45257,2,1.89,0
38082,3.5,0.877396145,1,112531,2,2.52,0
26328,3.5,0.138369796,1,29375,1,2.95,0
49312,3,0.396374108,1,35676,1,2.33,0
7013,3.5,0.531584201,1,45257,2,1.89,0
52313,3.5,0.60870147,1,65607,2,2.72,0
49312,3.5,0.396374108,1,35676,1,2.33,0
44037,3.5,0.651724686,1,76950,1,2.98,0
38543,4.5,0.618166723,1,76253,2,2.64,0
46684,3,0.344250707,1,33787,1,2.33,0
34641,3,0.146935712,1,29183,2,2.69,0
33432,3.5,0.568347691,1,46399,2,2.11,0
39648,4,0.296458838,1,34728,1,2.87,0
46684,3,0.344250707,1,33787,1,2.33,0
29228,3.5,0.704187765,1,87049,2,3.46,0
15624,4,0.400793651,1,19860,2,1.82,0
56990,2.5,0.68447096,1,58132,1,2.78,0
38543,4,0.618166723,1,76253,2,2.64,0
44208,4,0.74138165,1,50831,2,2.15,0
7013,3,0.531584201,1,45257,2,1.89,0
36024,4,0.559987786,1,41513,2,2.36,0
28417,4,0.65344688,1,21883,2,2.05,0
33803,4,0.739815993,0,73266,1,3.07,0
49123,3.5,0.663823464,0,67442,2,2.65,0
45230,4,0.862414327,0,90236,2,2.51,0
7013,2,0.531584201,1,45257,1,1.89,0
43261,3,0.195557199,1,22309,2,2.75,0
33432,4,0.568347691,1,46399,1,2.11,0
57579,3.5,0.559579013,1,59292,2,2.52,0
36024,4,0.559987786,1,41513,2,2.36,0
9262,4,0.46804146,1,42661,2,1.98,0
26328,3,0.138369796,1,29375,1,2.95,0
57507,3,0.55617577,1,31600,1,2.34,0
